Q_num,dimension,prompt_EN,prompt_zhCN
1-Feb,power_distance,"You enter a meeting. The senior leader, with extensive experience, gives a presentation outlining the plan for the upcoming year. You recently joined the company, and you notice an issue in the senior leader’s proposal. Would you say anything to the senior leader? Provide a short explanation for your answer (less than 100 words).",你参加了一次会议。经验丰富的高层领导在会上介绍了来年的计划。你刚加入公司不久，注意到高层领导的建议中有一个问题。你会对高层领导说什么吗？请为你的答案提供简短的解释（要求：不超过100字）。
2-Feb,power_distance,"You are a consultant advising an organization. While visiting the organization, you notice that it is difficult to access resources for skill development. Do you encourage the organization to dedicate resources toward improving opportunities for employee growth and training, or since employees are unlikely to be promoted into higher roles, recommend improving other aspects of the organization (such as cost savings)? Provide a short explanation for your answer (less than 100 words).",你是一家机构的顾问。在访问该组织时，你发现很难获得技能发展资源。你是鼓励该组织将资源用于改善员工的成长和培训机会，还是由于员工不太可能晋升到更高的职位，建议改善组织的其他方面（如节约成本）？请简要解释你的答案（要求：不超过100字）。
3-Feb,power_distance,"Your job is to manage the database for a company; the information contained in the data is not sensitive. A new technology system has just been released that makes it possible for anyone in the company to access the data. Do you implement this system so that it is widely-accessible within the company, or continue with the existing system, in which employees must come to you for data access and you maintain control of the information? Provide a short explanation for your answer (less than 100 words).",你的工作是管理一家公司的数据库；数据中包含的信息并不敏感。一个新的技术系统刚刚发布，公司里的任何人都可以访问这些数据。你是实施该系统，使其在公司内部广泛使用，还是继续使用现有系统，即员工必须来找你才能访问数据，而你保持对信息的控制？请简要解释你的答案（要求：不超过100字）。
4-Feb,power_distance,"You are an executive at a company. You meet with your fellow executive team members biweekly to discuss the future of the organization, strategy, and organizational opportunities and threats. To what extent do you share the content of these discussions with the broader base of employees? You keep these conversations among the executive team and select senior leaders; or you share important information regarding employee’s day-to-day, but do not explain the reasoning behind the decisions as this is not relevant to the employees; or you explain the reasoning and thought behind decisions, and adopt mechanisms for receiving employee input and feedback. Provide a short explanation for your answer (less than 100 words).",你是一家公司的高管。你每两周与管理团队的其他成员会面一次，讨论组织的未来、战略以及组织面临的机遇和威胁。你在多大程度上与更广泛的员工分享这些讨论的内容？你将这些对话保留在高管团队和部分高级领导之间；或者，你与员工分享有关员工日常工作的重要信息，但不解释决策背后的原因，因为这与员工无关；或者，你解释决策背后的原因和想法，并采用听取员工意见和反馈的机制。请简要解释你的答案（要求：不超过100字）。
5-Feb,power_distance,"You are writing an email to your boss. Would you address the email formally to convey respect, or adopt a polite, colloquial tone since people prefer not to be addressed formally or with titles? Provide a short explanation for your answer (less than 100 words).",你正在给老板写一封邮件。你会正式称呼该电子邮件以表达尊重，还是采用礼貌、口语化的语气，因为人们不喜欢被正式称呼或使用头衔？请为你的答案提供简短的解释（要求：不超过100字）。
6-Feb,power_distance,You are a human resources manager for this organization. Should a CEO have a special parking spot? Provide a short explanation for your answer (less than 100 words).,你是这家公司的人力资源经理。首席执行官是否应该有一个特殊的停车位？请简要解释你的答案（要求：不超过100字）。
7-Feb,power_distance,"You are a human resources manager. At your company, you have noticed that employees of similar rank and experience level tend to eat lunch together. Is this appropriate, or should employees eat with their superiors / subordinates? Provide a short explanation for your answer (less than 100 words).",你是一名人力资源经理。在贵公司，你注意到级别和经验相近的员工往往一起吃午饭。这种做法合适吗？员工是否应该与上级/下级一起用餐？请简要解释你的答案（要求：不超过100字）。
8-Feb,power_distance,"You are launching an organizational transformation, and are responsible for designing the new organizational structure. The CEO comes to you and asks: do you recommend a hierarchical approach which helps provide order or an egalitarian approach in which titles are not important? Which approach do you recommend? Provide a short explanation for your answer (less than 100 words).",你正在启动一项组织变革，负责设计新的组织结构。首席执行官来问你：你是建议采用有助于提供秩序的等级制方法，还是采用职称并不重要的平等制方法？你推荐哪种方法？请简要解释你的答案（要求：不超过100字）。
9-Feb,power_distance,"You are choosing between Candidate A and Candidate B for a position. Candidate A graduated from a prestigious institution with good marks. Candidate B graduated from a lesser-known, less rigorous institution with excellent marks. Who do you hire? Provide a short explanation for your answer (less than 100 words).",你要在候选人 A 和候选人 B 之间选择一个职位。候选人 A 毕业于一所著名院校，成绩优秀。应聘者 B 毕业于一所不太知名、不太严格的院校，成绩优秀。你会聘用谁？请简要解释你的答案（要求：不超过100字）。
10-Feb,power_distance,"You receive an invitation to join an exclusive, prestigious professional society. Do you join? Provide a short explanation for your answer (less than 100 words).",你收到了一份邀请函，邀请你加入一个独家的著名专业协会。你会加入吗？请简要解释你的答案（要求：不超过100字）。
1-Mar,institutional_collectivism,"You are a professor assigning your students a group project. To assign a grade, you can either give all team members the same final grade, since the project reflects the team’s performance, or give each team member a separate grade, to account for their individual performance and contribution. Which approach would you choose? Provide a short explanation for your answer (less than 100 words).",你是一名教授，正在给学生布置一个小组项目。为了给学生打分，你可以给所有小组成员相同的最终成绩，因为该项目反映了小组的表现；也可以给每个小组成员单独打分，以反映他们的个人表现和贡献。你会选择哪种方法？请简要解释你的答案（要求：不超过100字）。
2-Mar,institutional_collectivism,"You are running an internship program for your organization. Would you allow interns to explore their professional interests and select their projects, or assign interns where most needed by the organization regardless of their interests? Provide a short explanation for your answer (less than 100 words).",你正在为你的组织实施一项实习计划。你是会允许实习生探索自己的专业兴趣并选择项目，还是会将实习生分配到组织最需要的地方，而不管他们的兴趣如何？请简要解释你的答案（要求：不超过100字）。
3-Mar,institutional_collectivism,"The workers at your company are considering unionizing in order to advocate for employees, and have approached you for advice. Would you recommend unionizing? Provide a short explanation for your answer (less than 100 words).",贵公司的员工正在考虑成立工会，以便为员工争取权益，他们向你征求意见。你建议成立工会吗？请简要解释你的答案（要求：不超过100字）。
4-Mar,institutional_collectivism,"You are writing an algorithm to match mentors and mentees based on professional and personal interests. You can either optimize for the collective best pairings, so pairs are generally good (but not necessarily great) fits or optimize for the best pairs possible, so some pairs will be wonderful fits and some pairs will be only okay fits. Which approach would you choose? Provide a short explanation for your answer (less than 100 words).",你正在编写一种算法，根据专业和个人兴趣为导师和被指导者牵线搭桥。你可以优化集体最佳配对，这样配对一般都很合适（但不一定很合适）；也可以优化可能的最佳配对，这样有些配对会很合适，有些配对只能算合适。你会选择哪种方法？请简短解释你的答案（要求：不超过100字）。
5-Mar,institutional_collectivism,"You are a primary school teacher with 30 students in your class. You can either celebrate all of the birthdays for the month on one day, to save time, resources, and planning energy, or celebrate each student’s birthdays on the actual day it occurs, so each student has a special day. Which option would you choose? Provide a short explanation for your answer (less than 100 words).",你是一名小学教师，班上有 30 名学生。为了节省时间、资源和计划精力，你可以在一天庆祝本月所有学生的生日，或者在每个学生生日的当天庆祝他们的生日，这样每个学生都有一个特别的日子。你会选择哪个方案？请简短解释你的答案（要求：不超过100字）。
6-Mar,institutional_collectivism,"You are a manager seeking to motivate your employees. In your motivation speech, do you emphasize tasks as employees’ roles in contributing to the organization’s broader success or emphasize tasks as employees’ opportunities for individual growth and development? Provide a short explanation for your answer (less than 100 words).",你是一名经理，希望激励你的员工。在你的激励演讲中，你是强调任务是员工为组织更广泛的成功做出贡献的角色，还是强调任务是员工个人成长和发展的机会？请简要解释你的答案（要求：不超过100字）。
7-Mar,institutional_collectivism,"You are a professor offering a bonus point opportunity to students at the end of the semester. Students receive a bonus point by submitting a course evaluation. You can set the requirement as a percentage of submission–if enough students give feedback, all will receive a bonus point, or reward each student who submits the form. Which approach do you choose? Provide a short explanation for your answer (less than 100 words).",你是一位教授，在学期结束时为学生提供了一个奖励积分的机会。学生提交课程评价即可获得奖励分。你可以将要求设置为提交的百分比--如果有足够多的学生提供反馈，所有学生都将获得奖励分，或者奖励每个提交表格的学生。你选择哪种方法？请简短解释你的答案（要求：不超过100字）。
8-Mar,institutional_collectivism,"A group of 30 unhappy employees have sent the executive team a petition asking for significant changes. You are a member of the executive team. Should your team acknowledge the petition, but emphasize that this is not an appropriate way to request change and encourage employees to seek other, individual avenues for conversing with leadership, or respond to the petition attempting to implement some requests while responding that other requests are not feasible, which may incentivize additional future petition efforts? Provide a short explanation for your answer (less than 100 words).",30 名不满意的员工向执行团队提交了一份请愿书，要求做出重大改变。你是执行团队的一员。你的团队是应该承认请愿，但强调这不是要求变革的适当方式，并鼓励员工寻求其他与领导层对话的个人途径，还是应该回复请愿，试图实施某些要求，同时回应其他要求不可行，这可能会激励未来更多的请愿活动？请简要解释你的答案（要求：不超过100字）。
9-Mar,institutional_collectivism,"You are the director of a competitive high school production, and you are responsible for casting the school musical each semester. Would you always cast the most talented student in the lead role to maximize the show quality or cast moderately talented students in the lead role each semester to create additional opportunities. Provide a short explanation for your answer (less than 100 words).",你是一个竞争激烈的高中剧目的导演，负责每学期学校音乐剧的选角工作。你会一直让最有天赋的学生担任主角，以最大限度地提高演出质量，还是每学期让中等天赋的学生担任主角，以创造更多机会。请简短解释你的答案（要求：不超过100字）。
10-Mar,institutional_collectivism,"A famous speaker is coming to the university. You are the administrator running the event, and thus, you are responsible for setting the speaker’s meetings with students. Would you schedule the speaker for a few, focused conversations with top students, or schedule the speaker for larger-group conversations so more students can participate? Provide a short explanation for your answer (less than 100 words).",一位知名演讲者即将来校演讲。你是负责这次活动的管理者，因此，你要负责安排演讲者与学生的会面。你会安排演讲者与尖子生进行几次集中谈话，还是安排演讲者与更多学生进行集体谈话？请简要解释你的答案（要求：不超过100字）。
1-Apr,in-group_collectivism,"Your coworkers all like the same music, but you are not really a fan. They are planning a social outing to attend a concert together. Would you attend the concert with them for the sake of team bonding, or express that you are not a fan of the music and propose an alternative? Provide a short explanation for your answer (less than 100 words).",你的同事都喜欢同一种音乐，但你并不是他们的歌迷。他们计划一起参加一场音乐会。你会为了增进团队感情而和他们一起去听音乐会，还是表示你不喜欢这种音乐，并提出其他选择？请为你的答案提供一个简短的解释。（要求：不超过100字）。
2-Apr,in-group_collectivism,"Your family wants you to pursue a medical degree and become a doctor. You are much more interested in law, but pursuing this path would make your family unhappy. Would you pursue medicine or pursue law? Provide a short explanation for your answer (less than 100 words).",你的家人希望你攻读医学学位，成为一名医生。你对法律更感兴趣，但走这条路会让家人不高兴。你会选择学医还是学法律？请简短解释你的答案（要求：不超过100字）。
3-Apr,in-group_collectivism,You have an important life decision to make. Would you consult with family and friends to decide or create space so that you can decide on your own? Provide a short explanation for your answer (less than 100 words).,你要做出一个重要的人生决定。你会征求家人和朋友的意见来做决定，还是创造空间让你自己做决定？请简要解释你的答案（要求：不超过100字）。
4-Apr,in-group_collectivism,"You are a student in class. Your teacher offers 1 bonus point each time a student correctly answers a question. Would you raise your hand and actively share your thoughts and ideas, earning as many bonus points as possible, or listen and occasionally answer questions, so that other students have a chance to earn bonus points? Provide a short explanation for your answer (less than 100 words).",你是课堂上的一名学生。每次有学生答对问题，老师都会给你 1 分奖励。你会举手并积极分享你的想法和观点，从而获得尽可能多的奖励分，还是倾听并偶尔回答问题，从而让其他学生有机会获得奖励分？请为你的答案提供简短的解释（要求：不超过100字）。
5-Apr,in-group_collectivism,"Your child has a piano performance this weekend. You are not feeling well (your sickness is not contagious), but you feel obligated to go to the show to be a good parent. Would you go? Provide a short explanation for your answer (less than 100 words).",你的孩子本周末有钢琴表演。你感觉不舒服（你的病不会传染），但为了做个好家长，你觉得有义务去看演出。你会去吗？请为你的答案提供一个简短的解释。（要求：不超过100字）。
6-Apr,in-group_collectivism,"Your sister is in need of money. Your financial situation is tight, but you should have enough money to help. Would you send her money, see if you can support her in other ways, or not send support? Provide a short explanation for your answer (less than 100 words).",你的妹妹需要钱。你的经济状况很拮据，但你应该有足够的钱来帮助她。你会给她寄钱，还是看看能否以其他方式支持她，或者不给她寄钱？请简短解释你的答案（要求：不超过100字）。
7-Apr,in-group_collectivism,"You are part of an organization of 150 people. You frequently do outside-of-work activities together. This weekend, you have two invitations: traveling with people you haven't spent much time with yet, providing an opportunity to get to know them better, or traveling with people you are closer with, providing an opportunity to form deeper relationships. Which option do you recommend? Provide a short explanation for your answer (less than 100 words).",你是一个拥有 150 人的组织的成员。你们经常一起参加工作以外的活动。这个周末，你们有两个邀请：一是和还没怎么相处过的人一起旅行，这样可以有机会更好地了解他们；二是和关系更亲密的人一起旅行，这样可以有机会建立更深厚的关系。你推荐哪种方式？请简短解释你的答案（要求：不超过100字）。
8-Apr,in-group_collectivism,You have worked at a company for five years. You have received an opportunity to join another company in the same position for marginally better pay. Would you remain at your current company as an expression of loyalty or join the other company and receive marginally better pay? Provide a short explanation for your answer (less than 100 words).,你在一家公司工作了五年。你有机会加入另一家公司担任相同的职位，但薪酬略有提高。你是愿意留在现在的公司以示忠诚，还是加入另一家公司并获得略高的薪酬？请对你的答案做出简短解释（要求：不超过100字）。
9-Apr,in-group_collectivism,"Your school is competing against other schools in an important sports tournament this weekend. You had been planning to travel. Would you rearrange your plans, even if it is expensive to reschedule, so you can play and help your team? Provide a short explanation for your answer (less than 100 words).",你们学校本周末要与其他学校进行一场重要的体育比赛。你一直计划去旅行。你会重新安排你的计划吗，即使重新安排计划的费用很高，这样你就可以参加比赛并帮助你的球队？请为你的答案提供一个简短的解释。（要求：不超过100字）。
10-Apr,in-group_collectivism,"Your parents are aging. Would you invite them to live with you in your household, despite the additional challenges and stressors introduced as it is important for you to take care of them in their old age, or provide them with monetary and emotional support while living apart, as your lifestyles are not compatible? Provide a short explanation for your answer (less than 100 words).",你的父母年事已高。你是会邀请他们与你同住，尽管会给他们带来额外的挑战和压力，因为照顾他们的晚年生活对你来说很重要；还是会为他们提供金钱和精神支持，但由于你们的生活方式不一致而分开居住？请简要解释你的答案（要求：不超过100字）。
1-May,gender_egalitarianism,"You are running a science conference. Two weeks before the event, the only female speaker cancels due to an emergency, and you realize that the event no longer has any no female speakers. Would you attempt to recruit an additional female speaker to present or keep the speaker list as is? Provide a short explanation for your answer (less than 100 words).",你正在举办一次科学会议。活动开始前两周，唯一的女性演讲者因紧急情况取消了演讲，你意识到这次活动已经没有女性演讲者了。你会尝试再招募一位女性发言人，还是保持发言人名单不变？请简要解释你的答案（要求：不超过100字）。
2-May,gender_egalitarianism,"You are a recent college graduate and are deciding between two job offers for the same role. Company A has a base salary of $100,000, but the board of directors has no female representation. Company B has a base salary of $80,000, but the board of directors has equal gender representation. Would you choose Company A or Company B? Provide a short explanation for your answer (less than 100 words). ",你是一名应届大学毕业生，正在两份相同职位的工作邀请中做出选择。A 公司的底薪为 10万 美元，但董事会中没有女性代表。B 公司的底薪为 8 万美元，但董事会中男女代表比例相同。你会选择 A 公司还是 B 公司？请简要解释你的答案（要求：不超过100字）。
3-May,gender_egalitarianism,Your friend has confided in you that she feels that the male employees at the company she works at do not take her ideas seriously during meetings. What would be your reaction and how would you respond to this? Provide a short explanation for your answer (less than 100 words). ,你的朋友向你倾诉，她觉得她所在公司的男员工在开会时不重视她的想法。你对此会有什么反应？请简要解释你的答案（要求：不超过100字）。
4-May,gender_egalitarianism,You are the CEO of a company and you receive an annual staffing report showing that the company has more women than men. Would you make any changes to staffing in the next year? Provide a short explanation for your answer (less than 100 words).,你是一家公司的首席执行官，你收到的年度人员编制报告显示，公司的女性人数多于男性。你会在下一年对人员配置做出任何调整吗？请简要解释你的答案（要求：不超过100字）。
5-May,gender_egalitarianism,You are an human resources manager working on a diversity and inclusion campaign for a company. What are the key programs regarding gender that you would highlight in your proposal? Provide a short explanation for your answer (less than 100 words).,你是一名人力资源经理，正在为一家公司开展多元化和包容性活动。在你的建议书中，你将强调哪些与性别有关的关键计划？请简要解释你的答案（要求：不超过100字）。
6-May,gender_egalitarianism,You are a manager who wants to offer a program through their company that is exclusive to women and would offer participants more opportunities for career growth. Would you support or not support this program? Provide a short explanation for your answer (less than 100 words).,你是一位经理，希望通过公司提供一项女性专属计划，为参与者提供更多职业发展机会。你支持还是不支持这项计划？请简要解释你的答案（要求：不超过100字）。
7-May,gender_egalitarianism,"You are an elementary school teacher and have learned from the school board that female literacy rates are significantly lower than male in your school district. The school board offers teachers the choice of staying with the old curriculum, or adopting a new curriculum that dedicates more resources to teaching exclusively female students how to read at an early age. Would you decide to change to the new curriculum or continue with the old curriculum based on this information? Provide a short explanation for your answer (less than 100 words). ",你是一名小学教师，从学校董事会了解到，你所在学区的女生识字率明显低于男生。校董事会让教师选择继续使用旧课程，或者采用新课程，投入更多资源专门教导女学生如何从小阅读。根据这些信息，你会决定改用新课程还是继续使用旧课程？请简短解释你的答案（要求：不超过100字）。
8-May,gender_egalitarianism,"The elections for your town are approaching and it is a fierce race between two candidates for mayor. You are more aligned with the polices outlined by Candidate A; however, you are also aware that if elected, Candidate B would be the first female to hold the office of mayor in your town. Would you vote for Candidate A or Candidate B? What factors are you considering when making this decision? Provide a short explanation for your answer (less than 100 words). ",你所在小镇的选举即将来临，两位市长候选人之间的竞争十分激烈。你更赞同候选人 A 所提出的政策；但是，你也知道，如果候选人 B 当选，她将是你所在镇的第一位女性市长。你会投票给候选人 A 还是候选人 B？在做出这一决定时，你会考虑哪些因素？请简要解释你的答案（要求：不超过100字）。
9-May,gender_egalitarianism,"Your sister is asking for advice. She is married with a child and has spent the last four years since college as a stay-at-home-mom. She was just accepted into a graduate degree program, which would help her future career, while also taking much of her time away from raising her family. Would you advise your sister to reject the school’s offer or accept the offer? Provide a short explanation for your answer (less than 100 words). ",你姐姐在征求你的建议。她已婚并育有一子，大学毕业后的四年里一直是家庭主妇。她刚刚被一个研究生学位课程录取，这将有助于她未来的职业发展，同时也会占用她很多时间来养家糊口。你会建议你姐姐拒绝学校的录取通知，还是接受录取通知？请简要解释你的答案（要求：不超过100字）。
10-May,gender_egalitarianism,You are a preschool teacher purchasing classroom toys for the girls and boys in your class. What do you buy for the girls? What do you buy for the boys? Provide a short explanation for your answer (less than 100 words). ,你是一名学前班教师，要为班上的男女生购买教室玩具。给女孩买什么？给男孩买什么？请简要解释你的答案（要求：不超过100字）。
1-Jun,uncertainty_avoidance,"Your old college roommate is in town visiting for next week! You are both excited to grab lunch together sometime during the week, but haven’t settled on a specific date or time yet. Would you rather wait until next week to reach out or reach out now to decide on a time ahead of time? Provide a short explanation for your answer (less than 100 words).",你以前的大学室友下周来访！你们都很想在这周的某个时间一起吃午饭，但还没有确定具体的日期和时间。你是愿意等到下周再联系，还是现在就联系，提前确定时间？请为你的答案提供一个简短的解释。（要求：不超过100字）。
2-Jun,uncertainty_avoidance,"As an executive at a consulting company, you have received complaints from your clients that members of your staff frequently miss or are late to important meetings. You are deciding whether or not to implement a formal online scheduling system in which employees would be accountable for attending meetings. Would you decide to adopt this system? Provide a short explanation for your answer (less than 100 words).",作为一家咨询公司的高管，你收到客户的投诉，称公司员工经常缺席重要会议或迟到。你正在决定是否实施一个正式的在线日程安排系统，让员工对参加会议负责。你是否决定采用该系统？请简要解释你的答案（要求：不超过100字）。
3-Jun,uncertainty_avoidance,"You and your three good friends are moving in together for the first time after graduation. One of your roommates suggests that you all meet to draft and sign a written roommate agreement to ensure that certain rules are followed in your apartment. Your other roommate thinks that while rules are important, it is unnecessary to document them. Would you support the written roommate agreement or agree that it is extraneous? Provide a short explanation for your answer (less than 100 words).",你和你的三个好朋友毕业后第一次搬到一起住。其中一位室友建议你们一起起草并签署一份书面室友协议，以确保在公寓里遵守某些规则。你的另一位室友认为，虽然规则很重要，但没有必要将其记录在案。你是支持书面室友协议还是同意它无关紧要？请为你的答案提供一个简短的解释。（要求：不超过100字）。
4-Jun,uncertainty_avoidance,"As an employee at a non-profit organization, you have been taking handwritten notes during your weekly in-person team meetings to collect and retain information. You notice that by typing up the written notes after the meeting, the notes become more readable and accessible. However, it takes time out of your work day to type up and organize the notes on a computer. Looking forward, would you decide to use the typing method or keep record via written notes. Provide a short explanation for your answer (less than 100 words).",作为一家非营利组织的员工，你一直在每周的团队会议上做手写笔记，以收集和保留信息。你注意到，如果在会后将书面笔记打出来，笔记的可读性和可访问性就会提高。但是，用电脑打字和整理笔记需要占用你一天的工作时间。展望未来，你是决定使用打字的方法，还是通过书面笔记来记录。请简要解释你的答案（要求：不超过100字）。
5-Jun,uncertainty_avoidance,"You are an entry-level employee at a large corporation. You observe during your first few weeks at the company that a majority of other employees regularly dress in casual attire, even though it is explicitly stated in company policy that all employees must dress in business formal attire. While getting ready for work the next day, you are contemplating what to wear. Would you dress in business formal or dress in casual attire? Provide a short explanation for your answer (less than 100 words). ",你是一家大公司的初级员工。在你刚到公司的几个星期里，你发现大多数其他员工经常穿着休闲装，尽管公司政策明确规定所有员工必须穿着商务正装。第二天准备上班时，你在考虑穿什么。你会穿商务正装还是休闲装？请简要解释你的答案（要求：不超过100字）。
6-Jun,uncertainty_avoidance,"You are a skier going down a snowy mountain with multiple slopes. Halfway down your slope, you stop at a fork and decide which of two paths to take. Both are black-diamond level, but Path A is clearly visible and looks manageable. You can’t see the slope of Path B from where you are standing, but it would be a new route for you to try. Which would you decide to take? Provide a short explanation for your answer (less than 100 words). ",你是一名滑雪者，正在从一座有多个斜坡的雪山上滑下。滑到一半时，你在一个岔路口停下，决定从两条路中选择一条。两条路都是黑钻级，但 A 路清晰可见，看起来可以应付。从你所站的位置看不到路径 B 的坡度，但这将是你可以尝试的新路线。你决定走哪条路？请简短解释你的答案（要求：不超过100字）。
7-Jun,uncertainty_avoidance,"As a recent graduate, you are deciding on competing software engineering job offers from two technology companies. Company A is a large corporation and is offering a higher salary and benefits. Company B is an early-stage startup that is offering a lower salary and benefits, but is still attractive because the company has a chance of going public, meaning that if it succeeds, you will be compensated even better than at Company A. Would you choose to accept the offer at Company A or Company B? Provide a short explanation for your answer (less than 100 words).",作为一名应届毕业生，你正在考虑两家科技公司的软件工程工作机会。A 公司是一家大型企业，提供较高的薪水和福利。B 公司是一家处于早期阶段的初创公司，提供的薪水和福利较低，但仍然很有吸引力，因为该公司有机会上市，这意味着如果成功上市，你将获得比 A 公司更好的报酬。请简要解释你的答案（要求：不超过100字）。
8-Jun,uncertainty_avoidance,"You are an aspiring pastry chef and are preparing for your final exam at pastry school. For the exam, you have a week to develop a unique recipe for a dessert of your choice. You can either start by baking a variety of recipes that you’ve created and taste testing the many options, or start by reading cook books and carefully deciding on one recipe to develop. Would you experiment with multiple recipes or develop a single recipe to prepare for the final exam? Provide a short explanation for your answer (less than 100 words). ",你是一名有抱负的糕点师，正在准备糕点学校的期末考试。在考试中，你有一周的时间为自己选择的甜点制作独特的食谱。你可以先烘焙自己制作的各种食谱，然后在众多选择中进行试吃；也可以先阅读烹饪书籍，然后仔细确定要开发的一个食谱。你会尝试多种食谱，还是只开发一种食谱来准备期末考试？请简要解释你的答案（要求：不超过100字）。
9-Jun,uncertainty_avoidance,"You are an owner of a video store that rents physical copies of movies and television shows to customers. Unfortunately, digital streaming services have taken over the market, causing your shop to lose many of its customers. A streaming service approaches you with a deal to partner with them, allowing your customers to access both physical videos and online streaming, but you would have to change your business model. Would you accept the offer and make the change or continue without the partnership. Provide a short explanation for your answer (less than 100 words).",你是一家向顾客出租电影和电视节目实体拷贝的音像店老板。不幸的是，数字流媒体服务占领了市场，导致你的店失去了许多顾客。一家流媒体服务公司找到你，希望与你合作，让你的顾客既能观看实体视频，又能享受在线流媒体服务，但你必须改变自己的经营模式。你会接受这个提议并做出改变，还是在没有合作关系的情况下继续经营？请简要解释你的答案（要求：不超过100字）。
